City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
629,surt,LY,31.2089,16.5887,64.15,84,4,19.64,clear sky
630,orlik,RU,52.5178,99.825,27.45,79,93,2.84,overcast clouds
631,karratha,AU,-20.7377,116.8463,84.69,48,14,7.52,light rain
632,naron,ES,43.5167,-8.1528,66.04,73,97,4.36,overcast clouds
633,thessalon,CA,46.2501,-83.5666,30.49,69,84,11.92,broken clouds
634,gamba,GA,-2.65,10.0,81.75,77,86,8.14,overcast clouds
635,mende,FR,44.6667,3.5,57.83,41,58,12.06,broken clouds
636,alexandria,EG,31.2156,29.9553,72.97,45,90,17.16,overcast clouds
637,vieste,IT,41.8825,16.175,61.48,73,47,12.68,scattered clouds
638,katol,IN,21.2667,78.5833,91.44,13,0,6.44,clear sky
639,cagua,VE,10.1863,-67.4594,90.27,39,27,8.21,scattered clouds
640,tomatlan,MX,19.9333,-105.25,85.78,37,100,3.29,overcast clouds
641,the valley,AI,18.217,-63.0578,82.54,65,40,20.71,scattered clouds
642,seymchan,RU,62.8833,152.4333,-5.17,100,69,3.83,broken clouds
643,onufriyivka,UA,48.9072,33.4487,51.57,85,100,3.33,light rain
644,vila velha,BR,-20.3297,-40.2925,82.35,60,20,17.27,few clouds
645,virtsu,EE,58.5716,23.5115,45.05,20,100,11.27,overcast clouds
646,farafangana,MG,-22.8167,47.8333,75.96,82,14,7.7,few clouds
647,noumea,NC,-22.2763,166.4572,75.99,99,0,9.73,clear sky
648,tilichiki,RU,60.4667,166.1,19.13,95,99,5.41,overcast clouds
649,henderson,US,36.0397,-114.9819,74.82,25,0,21.85,clear sky
650,ambatofinandrahana,MG,-20.55,46.8,63.45,90,18,4.99,few clouds
651,suwalki,PL,54.1118,22.9309,43.39,56,82,11.81,broken clouds
652,walvis bay,NA,-22.9575,14.5053,57.09,66,17,10.36,few clouds
653,tafresh,IR,34.692,50.013,56.03,17,14,14.83,few clouds
654,kamaishi,JP,39.2667,141.8833,39.07,81,0,8.48,clear sky
655,buin,CL,-33.7333,-70.75,71.87,30,0,3.74,clear sky
656,tiarei,PF,-17.5333,-149.3333,77.02,75,7,16.11,light rain
657,iki-burul,RU,45.8208,44.6472,59.94,45,80,5.82,broken clouds
658,darhan,MN,49.4867,105.9228,45.43,43,98,2.93,overcast clouds
659,buala,SB,-8.145,159.5921,79.21,83,100,4.9,moderate rain
660,campo alegre,BR,-9.7819,-36.3508,94.33,40,25,9.62,scattered clouds
661,oranjestad,AW,12.524,-70.027,78.69,86,4,25.1,clear sky
662,yashkul,RU,46.1711,45.3435,62.35,45,83,4.12,broken clouds
663,izmalkovo,RU,52.6887,37.964,43.34,89,100,10.29,overcast clouds
664,alice springs,AU,-23.7,133.8833,72.95,32,3,8.05,clear sky
665,port hedland,AU,-20.3167,118.5667,80.65,65,7,8.05,clear sky
666,ostrovskoye,RU,57.8057,42.2433,35.26,63,100,8.05,overcast clouds
667,nandi hills,KE,0.1066,35.1838,58.78,93,100,2.64,moderate rain
668,kurya,RU,51.6003,82.2888,53.31,52,0,6.98,clear sky
669,jalingo,NG,8.8833,11.3667,97.77,34,25,4.03,scattered clouds
670,crotone,IT,39.0851,17.1178,67.19,56,99,10.02,overcast clouds
671,banjar,ID,-8.19,114.9675,77.92,91,98,3.11,overcast clouds
672,baghdad,IQ,33.3406,44.4009,76.78,14,0,10.67,clear sky
673,anchorage,US,61.2181,-149.9003,36.19,74,100,3.0,overcast clouds
674,sciacca,IT,37.5082,13.0881,64.04,52,39,11.68,scattered clouds
675,imbituba,BR,-28.24,-48.6703,69.4,62,99,11.14,overcast clouds
676,abu samrah,SY,35.3029,37.1841,68.61,30,43,7.14,scattered clouds
677,north bend,US,43.4065,-124.2243,48.07,83,100,11.5,overcast clouds
678,southampton,GB,50.904,-1.4043,64.35,53,0,5.99,clear sky
679,kurumkan,RU,54.3,110.3,33.03,73,76,4.16,broken clouds
680,povolzhskiy,RU,53.5854,49.7629,47.82,64,97,6.91,overcast clouds
681,perpignan,FR,42.75,2.75,76.82,36,0,19.57,clear sky
